,Location,Price,Mileage,Published_Year,Model,Brand,Year,Price_Log
0,Bandaragama,5.0,39000,2024,Honda,Dio,2017,1.791759469228055
1,Gampaha,5.78,30000,2024,Honda,Dio,2018,1.9139771019523042
2,Matara,5.65,15250,2024,Honda,Dio,2017,1.8946168546677629
3,Anuradapura,5.35,44444,2024,Honda,Dio,2018,1.8484548129046001
5,Matara,5.92,34000,2024,Honda,Dio,2019,1.9344157696295783
6,Nawalapitiya,4.3,33000,2024,Honda,Dio,2015,1.667706820558076
7,Kurunegala,4.99,27000,2024,Honda,Dio,2018,1.7900914121273581
9,Nawalapitiya,5.3,28000,2024,Honda,Dio,2018,1.840549633397487
10,Colombo,3.75,45,2024,Honda,Dio,2015,1.55814461804655
11,Kandy,5.35,39600,2024,Honda,Dio,2018,1.8484548129046001
15,Negombo,4.45,60000,2024,Honda,Dio,2016,1.6956156086751528
16,Gampaha,5.49,40000,2024,Honda,Dio,2019,1.8702625307159986
17,Kandy,5.85,32052,2024,Honda,Dio,2019,1.9242486522741338
19,Kalutara,3.47,39000,2024,Honda,Dio,2014,1.4973884086254776
20,Matale,3.77,38000,2024,Honda,Dio,2014,1.5623463049002497
22,Kandy,4.25,30810,2024,Honda,Dio,2015,1.6582280766035324
23,Ratnapura,5.07,29000,2024,Honda,Dio,2017,1.803358605071407
24,Kuliyapitiya,5.8,40000,2024,Honda,Dio,2019,1.916922612182061
26,Polonnaruwa,4.2,28000,2024,Honda,Dio,2015,1.6486586255873816
27,Anuradapura,5.95,25281,2024,Honda,Dio,2019,1.9387416595767009
28,Ratnapura,4.75,27150,2024,Honda,Dio,2017,1.749199854809259
29,Kurunegala,4.15,14600,2024,Honda,Dio,2015,1.6389967146756448
30,Kandy,5.5,30800,2024,Honda,Dio,2018,1.8718021769015913
32,Kandy,5.65,43000,2024,Honda,Dio,2018,1.8946168546677629
34,Kandy,4.05,48000,2024,Honda,Dio,2015,1.6193882432872684
36,Kandy,4.25,48000,2024,Honda,Dio,2015,1.6582280766035324
37,Dehiwala-Mount-Lavinia,4.78,38000,2024,Honda,Dio,2017,1.7544036826842861
38,Kandy,4.45,1000,2024,Honda,Dio,2017,1.6956156086751528
39,Gampaha,5.75,32000,2024,Honda,Dio,2018,1.9095425048844386
40,Kandy,3.35,35000,2024,Honda,Dio,2012,1.4701758451005926
43,Negombo,3.85,28000,2024,Honda,Dio,2014,1.5789787049493917
44,Kurunegala,5.55,21000,2024,Honda,Dio,2019,1.8794650496471605
48,Kalutara,3.28,41000,2024,Honda,Dio,2012,1.4539530095937052
50,Negombo,4.55,25500,2024,Honda,Dio,2016,1.713797927758343
52,Matugama,2.6,11000,2024,Honda,Dio,2012,1.2809338454620642
55,Matara,4.33,28,2024,Honda,Dio,2016,1.673351238177753
56,Mirigama,6.0,38000,2024,Honda,Dio,2018,1.9459101490553132
61,Kurunegala,5.1,52323,2024,Honda,Dio,2017,1.8082887711792655
65,Kuliyapitiya,4.25,50000,2024,Honda,Dio,2015,1.6582280766035324
67,Chilaw,4.45,60000,2024,Honda,Dio,2016,1.6956156086751528
73,Kadawatha,6.9,28000,2024,Honda,Dio,2020,2.066862759472976
74,Kurunegala,3.58,36650,2024,Honda,Dio,2012,1.5216989981260935
76,Anuradapura,4.38,40000,2024,Honda,Dio,2017,1.682688374173693
77,Wennappuwa,4.65,43000,2024,Honda,Dio,2016,1.7316555451583497
80,Kurunegala,5.95,66000,2024,Honda,Dio,2019,1.9387416595767009
81,Mannar,4.75,46000,2024,Honda,Dio,2017,1.749199854809259
82,Mannar,5.15,29000,2024,Honda,Dio,2018,1.8164520818184267
83,Puttalam,6.25,21000,2024,Honda,Dio,2019,1.9810014688665833
85,Wennappuwa,4.58,23500,2024,Honda,Dio,2016,1.7191887763932197
86,Galle,6.35,34500,2024,Honda,Dio,2018,1.9947003132247452
88,Matara,3.28,35263,2024,Honda,Dio,2012,1.4539530095937052
89,Polgahawela,4.45,42000,2024,Honda,Dio,2016,1.6956156086751528
90,Gampaha,4.75,48523,2024,Honda,Dio,2016,1.749199854809259
91,Matara,5.65,40,2024,Honda,Dio,2019,1.8946168546677629
92,Badulla,4.4,32000,2024,Honda,Dio,2016,1.6863989535702288
93,Kurunegala,4.4,52458,2024,Honda,Dio,2014,1.6863989535702288
94,Dompe,3.87,36000,2024,Honda,Dio,2015,1.5830939370944985
95,Piliyandala,5.95,23000,2024,Honda,Dio,2018,1.9387416595767009
97,Kandy,4.15,38000,2024,Honda,Dio,2015,1.6389967146756448
102,Gampaha,4.5,37000,2024,Honda,Dio,2015,1.7047480922384253
104,Kurunegala,5.5,56000,2024,Honda,Dio,2019,1.8718021769015913
105,Malabe,3.55,50000,2024,Honda,Dio,2013,1.5151272329628591
